QID,Brand,Model,Question,Dialogue,Report,,,,,,,
Q48883,标致,标致301,标致2008事故车撞了前部水箱冷凝器把变速箱电脑碰到了，现在发了新的电脑版现在问题是发动机电脑，ABS泵，变速箱电脑不通讯,技师说：你好，电脑诊断仪能进入变速箱控制模块吗？|技师说：报什么故障？|车主说：进不去|技师说：线路有没有损伤？保险检查有没有烧的|车主说：只有BS才能通讯|车主说：保险都检查了|技师说：电脑进不去说明有某个模块存在问题|技师说：线路上，变速箱控制模块建议编程匹配|车主说：唉变速箱电脑都进不去|技师说：线路方面先检查下看看，测量下变速箱控制模块，发动机电脑都有电过去没有,问题关闭时间到了，说一下可能存在的故障部位，首先是线路方面，控制模块间存在通信故障，应该是数据总线存在问题，或者是控制模块存在问题，可以测量不通信的模块有没有供电。,,,,,,,
Q39279,大众,速腾,你好，我2017年5月买的1.4T的速腾，开到5000公里时发现速度到100左右方向有卡滞的问题，速度越快感觉越明显。2018年1月到4s店做了检查说是方向机的问题，就给我免费更换了，当时试了车感觉没问题了，所以没上高速试车，但今年开车回家过年跑高速，感觉方向又有卡滞的问题了，感觉很别扭，不流畅，基本上不敢开到120，我该怎么办？,技师说：你好，你要检查一下方向机立柱有没有卡住的。还有拉杆球头，下肢臂，|车主说：春节前换的方向机，这些4s店应该都检查了吧|技师说：主要是方向机立柱|车主说：如果还存在问题，还可以索赔吗？|技师说：可以的|车主说：主要是都换过一次了还存在这样的问题太不应该了|技师说：方向机立柱。和方向机没关系|车主说：我也不清楚到底是换了方向机还是立柱，因为没开单给我。这款车我查了一下这方面的问题反映挺多的是真的吗？|技师说：检查立柱|车主说：好的，谢谢,检查方向机，立柱有没有间隙,,,,,,,
Q60139,比亚迪,比亚迪F3,发动机冷车皮带轮为什么一发动就响,技师说：你好，这个主要是皮带本身老化后本身变硬了摩擦声音就会大一些，也可以先检查一下松紧，太松了也会有这种情况,检查一下皮带本身有没有松动,,,,,,,
Q82310,江淮,江淮K5,大师好我是新车格尔发k5卡车汽囊座椅没反应是怎么回事,技师说：您好，建议检查座椅气囊是否有故障，新车可以到服务站免费质保检修,新车可以到服务站免费检修座椅气囊是否有故障,,,,,,,
Q23700,奔腾,奔腾B50,师傅您好  12款B50自动  爬坡2档升3档升4档反应慢   转速4000多了  才升档  市区平路行驶升降档就正常 还有点顿挫,技师说：车子多少公里|车主说：五万|车主说：火花塞换了  节气门也清洗了|技师说：变速箱故障灯有没有亮|车主说：没亮|技师说：什么时候出现的这个故障|车主说：这个不知道  我买2手的|技师说：建议用诊断电脑看看有没有故障码|车主说：前天诊断了 没有故障码|技师说：先用诊断电脑清除一下变速箱学习值，然后跑高速学习一下，检查变速箱油是否过脏|车主说：好的|车主说：如果换变速箱油要用 循环机还是用人工换油|技师说：机器换油比较贵成本高但是换的干净，手工换油成本低但是换的不测底|车主说：换油的时候  需要拆变速箱油底壳清洗下么？|技师说：需要拆因为要更换滤网|车主说：OK|车主说：谢谢   我试试|技师说：有问题及时沟通|车主说：好,检查变速箱系统是否有故障码，检查变速箱油是否过脏，检查发动机系统是否过脏，清除发动机和变速箱学习值，清洗变速箱阀体,,,,,,,
Q74011,现代,朗动,朗动新车 左前轮毂侧面撞马路牙子，现在发现方向盘有点往左偏，拐弯回轮无力  而且回不正。怎么回事？,技师说：您好。首先把车子顶起来检查一下左前有没有配件变形的。比如方向拉杆球头。然后如果没有配件变形就做个定位。|车主说：新车4S做定位要钱吗？多少钱？|技师说：您去了别说磕路牙造成的。就说不知道怎么回事。他们会给您做的。|技师说：磕路牙属于人为的肯定不免费。|车主说：好的,检查底盘悬架配件有没有变形的。没有变形就做个定位。,,,,,,,
Q47401,大众,宝来/宝来经典,宝来1.4t气门顶筒有循序吗,技师说：你好你的是不是拆过了，没有拆之前有没有这样的异响呢，|车主说：拆过了|车主说：没拆之前好像没什么声音|车主说：声音没这么大|车主说：顶筒看起来一样的没什么区别呀|车主说：现在不缺缸，什么都正常，就是像气门的声音一样|技师说：正常我在拆的时候，都是怎么拆的，怎么装，按顺序装|技师说：最开始什么问题|车主说：没有气缸压力，换了活塞|车主说：缸头|车主说：如果不安循序装上去有什么办法解决吗|车主说：我修完之后让车主开几天试试，但是声音还是一直有|技师说：坐在车里面能够听到很明显吗|技师说：机油压力正常的话，正常做法就是更换，挺杆|车主说：只有换顶杆吗|技师说：是的只有更好|技师说：别的也没有办法|车主说：顶杆大概多少钱啊|技师说：好像在20左右一个吧|车主说：还完了还是有声音|车主说：还|车主说：换|车主说：我以为连杆瓦松动，所以垫了数据纸，然后发动机抖动的特别厉害|车主说：我把数据纸拿掉了，还是特别抖|车主说：感觉要熄火一样|车主说：修的我快怀疑人生了|技师说：这个发动机搞的，费事了|技师说：大修的时候，没有根据维修手册来修吗，有的数据还是要对照维修手册，我大修大众车，从来没有垫过纸，|车主说：那现在该怎么修呢，不会要换曲轴吧|车主说：我只是发了一下，几分钟就拆下来了|技师说：曲轴根据维修手册，测量一下数据，看看是不是磨损太大|技师说：这个曲轴也不是很贵|车主说：宝来的连杆瓦是不是本来就有浮动的呀,拆的时候，怎么拆怎么装就可以了，按顺序放好,,,,,,,
Q62888,福特,福克斯,这是什么问题,技师说：你好，这个正常的！第一个是打开钥匙不着车，检测故障码|技师说：第二个是打开钥匙着车检测故障码！|车主说：[图片]|车主说：还有一个故障|技师说：一个是点火有问题，火花塞或点火线圈一个是氧传感器问题|车主说：火嘴换了一套新的高压包换了两个正厂的|技师说：不一定，那一个缸有问题，点火线圈最好都换了,详见图片,,,,,,,
Q37913,丰田,凯美瑞,这个车门是能修好吗？  能和原来的一样吗？,技师说：没穿可以修|技师说：修了刮灰喷漆，肯定跟原来不一样|车主说：那换个车门大约要多少钱啊？|技师说：换门2000多|车主说：恩,能修好，但跟原厂肯定不一样，一般看不出来。,,,,,,,
Q65879,现代,朗动,新车朗动4000多公里   今天停车踩刹慢速打方向时嗡嗡响然后没有了,技师说：你好，你这个车是油助力还是电助力？|车主说：朗动16款|技师说：你这个是电动助力，是不是方向盘下面响的，电机响的声音！|车主说：不清楚啊  响一下又没响了|技师说：只要是车内就是电机响的，下次再响注意一下，出问题最好录个视频，到时候去质保好处理！|车主说：平时打方向又不响啊   一共响过2次|车主说：带刹车调头的时候|技师说：你自己多注意一下，真有问题，肯定越来越频繁，记着出现的时候录视频！,详见图片,,,,,,,
Q80094,别克,君越,这个样子钣金能不能搞好？ ,技师说：你好！完全可以的  问题不大|车主说：靠门那里有一个凹坑，有不有办法？|技师说：这都是小问题  可以修复的|车主说：谢谢,吸引需要进行钣金喷漆处理,,,,,,,
Q52803,斯柯达,明锐,请问哪里可以卖到原厂的斯柯达明锐刹车油和防冻液？刹车油是不是必须用原厂的？,技师说：你好，这个没必要，你用品牌的没问题，刹车油dot4美孚，防冻液壳牌的|车主说：大概多少钱哪里可以卖到|技师说：200左右|车主说：好吧,你用美孚，壳牌，嘉实多的防冻液，刹车油没问题，放心用,,,,,,,
Q47724,大众,朗逸,这个是什么意思，修了好久了，换火花塞，氧传感器，汽油格，洗喷油嘴，差不多都搞完了。求教下,技师说：123故障都是45造成的，怎么没有考虑点火线圈|车主说：点火线圈3缸换过了新的还是这样|车主说：然后把以前的3缸换到二缸，二缸正常|车主说：前天修理店的拆下火花塞来看3.4缸的有点黑，12缸的很干净|技师说：4缸呢！点火线圈换了吗|车主说：冷车启动的时候有点抖，有时候发动机灯还会亮重新熄火在打火好了。|技师说：一开始就应该把12缸点火线圈倒换到34缸|车主说：34和12调换过了的，12缸还是没问题，所以判断不是点火线圈问题|技师说：如果还是34缸故障|技师说：气缸压力测了吗|车主说：没有测|车主说：气缸压力不准的话是什么有问题了|技师说：那年的车，行驶多少公里|技师说：气门建议|车主说：13年，快5万公里了|车主说：节气门才换的新的|技师说：跑的不多啊|车主说：不到一个礼拜|技师说：气门间隙|技师说：建议倒换喷油嘴|车主说：是啊，这个问题把我折腾烦了|车主说：今天才洗的喷油嘴，然后换了位置的，跑了100多公里又亮|技师说：这个故障是什么开始的|车主说：而且有时候踩油门速度起来不快|车主说：17年初吧|技师说：换了位置还是34缸问题|技师说：两个缸不工作肯定提速有问题|车主说：中间一段时间开少就没管|车主说：是的|技师说：这么久了|技师说：怎么没去4s|车主说：就在修理店解决的|车主说：三元催化有影响吗|技师说：不会|技师说：你是在4s店检查|车主说：有时候加速又是很正常的，有时候加速有点慢，特别是上坡加油声音很大|车主说：嗡鸣声|技师说：上坡本来就要用力|车主说：第一个故障码经常出现，没有出现缺缸他都出现|车主说：是什么问题第一个|技师说：前氧传感器故障|技师说：汽油加的不好也能造成以上故障|车主说：都是加的石化的，应该不是汽油问题|技师说：明天去测个缸压|车主说：好的|车主说：不行就去4S看看，主要是太远了，懒得跑|技师说：几百公里路程|车主说：200多|技师说：不算太远|技师说：不要再外面在乱花钱，换了一大堆还是没找到问题|车主说：嗯，不行就去看看吧，明天去测一下缸压|车主说：花了2000多了问题还是没解决|技师说：嗯|车主说：如果缸压不正常的话应该就是这个问题吧|技师说：缸压不正常需要检查气门间隙|车主说：嗯|车主说：气门跟油门有关联吗|车主说：有时候踩油门感觉很紧，特别是早上|技师说：没有|车主说：哦|技师说：爱车是电子油门并非拉线油门|车主说：好吧|车主说：那油门紧是什么原因啊|车主说：就是踩着要用点力|技师说：油门踏板自身问题建议拆下来做个润滑看看|技师说：没有脚垫支撑或者阻碍把|车主说：好的，谢谢了|车主说：没有阻碍|技师说：那就是内部簧太硬|技师说：晚安|车主说：晚安|车主说：以前节气门坏过几个月，排气有放屁声|车主说：是不是这个影响了|车主说：导致哪里脏了|技师说：排气放屁还是燃烧不好造成的，没有完全燃烧的汽油到排气管燃烧就会放炮|车主说：噢噢,检查正时，气缸压力,,,,,,,
Q20199,起亚,福瑞迪,14年6月的起亚福瑞迪1.6手动挡，这几天车子在行驶过程中感觉方向盘抖动，包括打方向回位时也不是很干脆，拖泥带水的感觉，做过动平衡，四轮定位，是否是转向机问题?,技师说：你好，这种情况建议您首先检查一下车辆的减震器上座点胶是否老化，检查一下底盘下支臂球头是否有旷量？ 如果确定都没有问题的话需要检查一下转向机,你好，这种情况建议您首先检查一下车辆的减震器上座点胶是否老化，检查一下底盘下支臂球头是否有旷量？ 如果确定都没有问题的话需要检查一下转向机,,,,,,,
Q12790,起亚,起亚K2,我刚换的双铱金火花塞，感觉打开大灯时发动机有负重感呢？以前好像没有这种感觉呀？,技师说：您好 开大灯有负重感的话这个跟火花塞是没有关系的|技师说：主要就是大灯打开发电机负荷加大了所以发动机肯定会有这个感觉的可以考滤清洗下节气门看下|车主说：节气门也是一起清洗了|车主说：怎么可以恢复出厂设置？|车主说：节气门也清洗过了，|车主说：咋不回答？|技师说：刚才干活了|技师说：节气门洗过后匹配了没有|技师说：这个是没有出厂设置的|技师说：打开大灯的话发电机的发电量是多少|车主说：好像没匹配，只是用电脑清除故障码了，发电机电量没测|车主说：怎么匹配？怎么测发电机电量呀？|技师说：[语音]|车主说：[语音]|车主说：[语音]|技师说：节气门要用电脑匹配下的|技师说：不是的,您好 建议将节气门进行匹配看下另外看看发动机是否有故障码都检查下,,,,,,,
Q45798,大众,途安,2012年1.4T途安，行驶6W3。插入钥匙通电后仪表盘显示正常，打火启动三秒钟，仪表盘没显示，迈速  油表  水温指针都回复零，可以正常行驶，大灯转向收音机等工作正常,技师说：你好，检查仪表保险丝，如果没事就是仪表坏了。|车主说：需要拆下仪表盘，才能看到保险丝吗|技师说：不能，检查一下仪表插头有没有松动，如果没有松动就是仪表坏了。|车主说：现在这种情况影响开车吗|车主说：电脑测试电压为16点多伏|技师说：发电量高，用万能表量一下，超过15负就更换发电机,你好，先把发电量修好了，如果不行就检查仪表。,,,,,,,
Q17859,丰田,RAV4荣放,我的车为rav4在停车没熄火挂p档，手刹拉起时被一电动车撞到左前轮上方，开的时候发现方向盘比以前要沉，请问有没有问题？我该如何让修理厂检测，应该调试哪里？撞伤如下图,技师说：你好，按道理说电动车应该是没有特别大的冲击力的，按照你说的这种情况可能是车辆左前的拉杆球头存在轻微变形的情况，可以去修理厂做一下四轮定位看一下底盘的前轮数据是否正常，如果正常的话，应该是问题不大。|车主说：好的|车主说：请问这种情况如果不去管他开车是否会有影响？跑高速是否会出问题？|技师说：你自己可以自己检查一下，就是车辆在正常路面行驶直线行驶的时候有没有出现跑偏的现象？如果没有的话，应该是没有问题的。|车主说：刚测了一下，路面较好时基本上可以保持10米_15不跑偏，|车主说：补充一下，我是被电动三轮车撞的|车主说：左前轮上方凹陷|技师说：建议你去做一下四轮定位|车主说：好的,你好，按道理说电动车应该是没有特别大的冲击力的，按照你说的这种情况可能是车辆左前的拉杆球头存在轻微变形的情况，可以去修理厂做一下四轮定位看一下底盘的前轮数据是否正常，如果正常的话，应该是问题不大。,,,,,,,
Q41692,吉利汽车,帝豪GS,这个好处理吗，瘪进去了,技师说：[语音]|车主说：[语音]|车主说：瘪进去了|车主说：是否要钣金|技师说：[语音]|车主说：到4s估计很贵吧|技师说：[语音]|车主说：汽修店修的和4s的有区别吗|车主说：当天能拿车吗|技师说：[语音]|车主说：还是去4s做|车主说：这个当天去4s做能拿到车吗|技师说：[语音],重新整形，然后做油漆就可以了，费用方面大概是在1000块钱左右。,,,,,,,
Q12165,大众,途观,途观的气囊如何拆下来了,技师说：主气囊吗|车主说：是的|技师说：方向盘底下有两个孔里面有卡|车主说：用螺丝刀翘|车主说：出不来了|技师说：短的螺丝刀可以，|车主说：[图片]|技师说：没看到里面那个像铁丝的吗，往下翘|车主说：[图片]|车主说：是这样吗|车主说：往外翘不出来了|车主说：螺丝刀要左右转吗|车主说：在吗|技师说：对啊，但得往外拽气囊啊|技师说：然后在翘哪边，在拽气囊|技师说：就下来了|车主说：我都这样翘住，用手拔气囊，出不来|车主说：要两边同时翘住吗|车主说：我是翘一边的|车主说：难道翘的姿势不对吗？|技师说：一面一面翘|车主说：[图片]|车主说：我就这样翘住|车主说：一边拔|车主说：好像卡住了，出不去|技师说：对|车主说：[图片]|技师说：你没弄好|车主说：还有什么技巧吗|技师说：没有|车主说：会不会这里面坏了吗|车主说：怎么都不出来|技师说：不会|车主说：[图片]|车主说：这个转角传感器是安装到哪的了|车主说：看不到了|车主说：这个传感器是在哪的了|车主说：？？|车主说：急急急，是不是这个了|车主说：驾驶员自己拿来的|技师说：[图片],正常一扣卡子一拽就下来,,,,,,,
Q49460,吉利汽车,博越,我的吉利博越是17年9月买的，到目前四个多月，12000km，目前感觉二保之后加速没有之前那么顺畅，清洗了节气门，也对比了车友同款车型，感觉完全不一样。去了4s看了几次，4s说没有问题。想求一个重庆地区的专业师傅付费帮忙看看。谢谢了,技师说：[语音]|技师说：[语音]|技师说：[语音]|技师说：[语音]|车主说：我两家都去了|车主说：另一家给换了新机油机滤，清洗了发动机|车主说：而且我二保做了才半个月又换了|车主说：清洗的时候有少量铁屑，但是后面还是一样的|车主说：火花塞应该不存在换吧|车主说：当时二保升级了一下ecu|技师说：这问题跟火花塞有关系，但正常来说火花塞不可能只跑一万公里|技师说：您去另外一家四S说了升级ecu的情况没|车主说：说了|车主说：他说没有影响，而且他也帮我重新刷了一次|车主说：也断了电瓶电重置了一次|技师说：哦|车主说：现在油门刹车都重，发动机声音也大|技师说：二家四S都说没问题吗？|车主说：有时候车串就出去了|车主说：有时候加速又没力|车主说：嗯|技师说：我怀疑跟升ecu可能有关系|车主说：我之前在高速标准模式很轻松140 150|车主说：现在不打开运动模式没法上140 150|车主说：120有时候油门都到底|车主说：我就是想找个专业的帮我看看，不然4s说没问题|技师说：因为您是二保后出现的，二保项目又都检查了，应该不会有影响|车主说：特别纠结|技师说：那就有问题|车主说：额|车主说：你不是属于重庆的吧|技师说：我也听说过，吉利四S很拽|技师说：我不是的|车主说：今天找了一天没找到重庆本地的专业技术|车主说：噢噢|技师说：很难碰巧碰到的|车主说：嗯啦|车主说：稍等，我先把感谢费给你|车主说：这个怎么确认呢，师傅|技师说：车主端我也不是很清楚，过二天会自动釆纳的|技师说：谢谢您|车主说：没事的|车主说：感谢你|车主说：你有朋友在重庆这边做这块专业的没|技师说：谢谢您的信任|技师说：[语音]|车主说：哦哦没事的|技师说：不好意思，看得出来，您是一个很善良的爽快人。|车主说：耿直人|技师说：现在车辆质保都是三年10万公里的。您也不用太担心|车主说：我是|车主说：出了问题特别浪费时间感觉|车主说：每次都去都没有解决好|技师说：是的，通过这会儿交流就能够看得出来。|技师说：[语音]|车主说：我是宁愿花钱不愿意费时间|技师说：??????|技师说：是的是的|车主说：嗯嗯|技师说：嗯|车主说：一般汽车内部是不是需要专业的设备才能读取呢|车主说：有一个4s说厂家技术来了帮我也可以看看|车主说：专业设备才能读出问题|技师说：是的，如果仪表没亮故障灯，只能通过诊断设备才能读取车辆故障的|车主说：噢噢|车主说：貌似他就是那个意思|车主说：他说他们电脑读出来没有故障码|技师说：跟电路有关的故障，诊断电脑都可以读取出来的，方便维修|技师说：没有故障码的确很难下手|车主说：哦哦|车主说：那我叫他帮我申请下厂家支持|车主说：也只能这样了|技师说：这应该可以|车主说：嗯嗯|车主说：一般你们有没有遇到这种新车加速无力这种|技师说：您在提问时，可备注下，非重庆专业技师，勿接|车主说：应该很少哈|车主说：没事的|车主说：提供点建议也不错|技师说：像这样不是重庆的就不会接的|技师说：[语音]|车主说：好的好的|技师说：嗯嗯|车主说：谢谢哈|技师说：不客气的??,您好，可以换几家4s店分别试一试。,,,,,,,
Q72887,长安,长安CS75,汽车两个前轮胎开裂是什么情况啊 ,技师说：平时轮胎气压是否过高了，还有检查下底盘方面是否有损坏的部件，以及检查四轮定位数据是否有偏差|车主说：两个轮胎都是那个地方|技师说：都是外侧对吧，这个应该是属于四轮定位的外倾角数据可能偏差了引起的不正常磨损问题，最好是去检查下定位，有问题的话需要重新调整定位的数据防止轮胎继续磨损|车主说：好的谢谢|技师说：没事不用客气,从图中轮胎的使用情况判断这个现象通常是因为四轮定位数据不正常引起的轮胎磨损异常问题，建议做个定位数据检测，如出现偏差需要重新调整，同时，保持轮胎压力在规定的范围之内,,,,,,,
Q10328,福特,嘉年华,您好！2010年产嘉年华两厢的导航一体机，现在接触不好，导航时可以时不可以的，有时又可以用，是收音机不影响，屏幕都是黑的，屏幕上一闪一闪，格能修复，换新的格能找到原厂的，谢谢！,技师说：原厂的4S有，这个你可以先检查一下是不是后面的线接触不好，然后再考虑换屏|车主说：插了插是会出来会，一会又不行，耽搁事，请给下原产厂家，谢谢??|技师说：原厂厂家我没有不好意思？你如果觉得不需要也可以直接买淘宝的|车主说：好的，谢谢了|技师说：不客气,建议检查线路，再考虑换屏幕,,,,,,,
Q65828,本田,本田CR-V,请问这个地方渗油要不要紧，16款2.0crv   行驶17000公里，首保时就有点油  说是装配油，现在发现变多了,技师说：漏油情况和图片一样吗|车主说：对|车主说：我在网上找的这个图片   跟我的差不多    我的没这个严重|技师说：刚刚有点忙，现在空了|车主说：没事??|技师说：从图片看，这个叫做渗油，不算漏油。 图片这个地方渗油，需要检查一下排挡杆的换挡机构油封，半轴油封。如果这两个地方没有渗油痕迹，就是变速箱里面了，我所遇到的，通常是半轴油封。车辆目前还在质保期，是可以免费索赔维修的。只要不是变速箱中部就行，因为中部要更换变速箱|车主说：去4S店就说是装配油    说没事不用理他，车跑着反正是没什么问题，就是花钱图个心安问问??|技师说：图片这个应该不是装配油，如果是，不会这么多。 您的车有1万7，16年车，这都18年了，如果是装配的油，早干透了，就是不知道您的车渗油是什么情况。如果和图片一样，要检查一下上面说的写两个油封，也可以清洗干净再使用观察|车主说：那好吧   谢谢了   马上保养了我会找他的|技师说：好的|车主说：在吗师傅|技师说：在的呀|车主说：我下楼把我车的照片发给你你帮我看下|技师说：可以，不过这车底盘也不是特别高，能拍到吗？|车主说：确实费劲啊??|车主说：[图片]|车主说：[图片]|车主说：这个是我的|车主说：刚照的|技师说：您这个和前面那个图片相比，轻微多了，有可能确实是装配漏的，这次保养的时候，清洗干净再看看，再观察一下，不像渗油，更不是漏油|车主说：好的   谢谢了师傅|技师说：不客气,变速箱与发动机连接处有轻微油迹，就目前的情况看，不能准确判断一定是漏油，建议清洗干净再使用观察。,,,,,,,
Q55778,现代,朗动,各位老师好，我的车是16年10月上路的，现在开到4万1千公里了，马上要做第四次保养了，之前是1万公里保养一次，每次基本话费在8/9佰左右，不知道第四次需要做那些保养啊，感觉挺贵的。,技师说：你好，四万公里需要换机油机滤，清洗积炭！检查下空滤，空调滤芯！|车主说：还有，老师 我之前每次都是去4s店保养的，感觉挺贵的，朋友他们不在4s店保养，只有我的一半的费用，4s店和其他地方区别大吗？|技师说：去大型修理厂也可以！|技师说：4s用的配件质量好些,你好，四万公里需要换机油机滤，清洗积炭！检查下空滤，空调滤芯就可以！做个全车检查！,,,,,,,
Q27141,吉利汽车,帝豪GL,我想问问吉利帝豪GL的车平均油耗是多少？,技师说：在市区跑的话得八个油。|车主说：那么宝骏的车呢？|技师说：厂家标的都太低，应该加两个，市区八个油。|车主说：这两个差不多啊|技师说：730|技师说：1.5的排量|车主说：我说的是560|车主说：就是不知道后天上市的530油耗到底怎么样|车主说：两个车空间都挺大的   配置也是比较丰富的|技师说：差不多的1.5T的和1.8的|技师说：手动的和自动的差一升油的|车主说：你觉得这两款车那个最适合入手，你个人感觉??|技师说：呵呵就看了这两个,这款发动机油耗在市区开应该是八个多油。,,,,,,,
Q82353,日产,蓝鸟,新蓝鸟汽油棒保险丝在哪？,技师说：这款车的汽油泵保险丝在室内保险盒里面|车主说：那个颜色|车主说：要关闭|车主说：清洗喷油嘴|技师说：最简单的就是直接把油泵的插头断开，这个最方便|车主说：不好拆|技师说：有个蓝色15A的保险丝，你看这使用手册找一下|车主说：手册不见了|技师说：那就把油泵插头吧，不难拆,这款车的油泵保险丝在室内保险盒里面蓝色15a的保险丝，可以翻看使用手册找一下，或者可以直接拔油泵的插头,,,,,,,
Q38591,奇瑞,奇瑞QQ6,新款GL8换完电瓶不着车是啥原因？？,技师说：你好，找个人推车看看，能不能着车？|技师说：到底是qq6还是gl8?|车主说：GL8|技师说：直连起动机能着车吗？|技师说：你是不是拆上面的行车电脑了？|技师说：这个插不好容易烧行车电脑|车主说：没有|技师说：这个电瓶很难换，没有别克专用电脑匹配不了！|车主说：你的意思是需要匹配|技师说：对,这个车换电瓶不能动行车电脑，插件位置插不好，容易烧行车电脑！没有专用电脑只能拆大灯更换！这个匹配得用别克的专用仪器！,,,,,,,
Q74798,东南,V3菱悦,遥控器没发应，也点不了火,技师说：你好 这种现象可能是遥控器没电了 或者是遥控器信号丢失。遥控器损坏。车身接收器损坏 防盗系统故障都会造成这样。 您最好是找维修人员来帮你检查一下。|车主说：[语音]|技师说：那如果这样的话 应该是车上的接收器出了问题。|车主说：[语音]|技师说：这个需要先用电脑匹配一下试一试 如果还不行 那就得换接收器了。|车主说：[语音]|车主说：[语音]|技师说：嗯 这种现象是防盗系统没解除|车主说：[语音]|技师说：可以的。用电脑可以直接检测出故障码。|车主说：[语音]|车主说：[语音]|技师说：这个得用电脑先解除试一下。如果能解除的话 那就是防盗系统程序错乱所导致的。 重新匹配一下就好了。  如果是接收器损坏 或者是防盗控制模块损坏的话 那就得换接收器 再去匹配防盗系统才可以解决。|技师说：一般都在工作台内部安装。|车主说：[语音]|技师说：进防盗系统不需要打开钥匙吧|车主说：[语音]|技师说：你哪里有专用电脑吗？|技师说：这个得用专用电脑|车主说：[语音],这种现象可能是遥控器 没电。 遥控器损坏 防盗控制模块损坏 都会造成这样。您最好是找维修人员来帮你具体检查一下。,,,,,,,
Q31076,起亚,福瑞迪,你好，大师，请问我的福瑞迪2011款1.6顶配的自动挡，在高速上行驶到110时如果踩下刹车时方向盘会左右来回的抖得很厉害，直到速度降到90以下抖动才会消失，请问是什么原因导致的，是什么部件应该需要更换了，谢谢！四轮已做过动平衡了，,技师说：您好！前刹车盘不平引起的，跳动两大引起的抖动，更换前刹车盘就可以了！有什么不懂的可以继续追问我！|车主说：那请问师傅，我更换了刹车盘时需要将刹车片一起换吗？刹车片我是大约4到5千公里前才换的。|技师说：刹车片不需要更换，让师傅用砂纸打磨一下刹车片就可以了，更换前刹车盘就可以了！,更换前刹车盘，用砂纸打磨一下前刹车片就可以了！,,,,,,,
Q26517,宝马,宝马7系,宝马7系，后备箱车身右边保险盒位置下面下雨有渗水，不知道是什么原因,技师说：行李箱保险丝盒位置左右两边有个单向通风格栅的，由于老化变形了雨水从格栅处流进来。|车主说：这个叫什么名字|技师说：行李箱通风格栅,检查行李箱进气格栅是否老化损坏漏水。,,,,,,,
Q51414,现代,名图,您好 我的车是名图1.6t的2016款的21000公里 我想问下保养用什么样的机油好,技师说：你好，你这个车保养用壳牌，灰壳比较好的！全合成机油！|车主说：是5w30的吗|车主说：用半合成的不行吗 4s店给我用的都是半合成的|车主说：普通保养都需要准备什么东西|技师说：半合成也可以，就用蓝壳|技师说：两万公里换，机油机滤，空滤！四轮动平衡换位！|车主说：你给我推荐一款啥样的|技师说：什么东西？|车主说：空滤是空调过滤的那个吧|车主说：给我推荐一款性价比比较好一些的机油|技师说：哦哦，可以用马勒或者曼牌的|技师说：蓝壳嘛|车主说：你说空滤指的什么|技师说：就是空气滤芯|车主说：每次保养都要换空气滤芯吗|技师说：不是的，1.5万换一个就可以了|车主说：[图片]|车主说：你看下这款行不|技师说：嗯嗯可以|车主说：这款机油隔多长时间做次保养|技师说：六千公里|车主说：[图片]|车主说：多久加一次这个|技师说：不用加，没啥作用|车主说：4s店隔一次保养就给我一瓶 我的是1.6t的没啥大作用吧|技师说：嗯是|车主说：谢谢|技师说：不客气，早点休息,你好，这个车用壳牌，灰壳，蓝壳都可以的！型号5W30的，两万公里换机油机滤，空滤，做个四轮动平衡换位！,,,,,,,
Q33244,宝马,宝马X6,宝马x6车身高度调节失效怎么快速解决我在高速急,技师说：[语音]|技师说：[语音]|车主说：就是我问一下就是怎么可以快速解决的方法。|车主说：因为我在高速上吗在高速上没有修理厂怎么办？|车主说：就是开慢点儿，能跑吗|技师说：[语音]|技师说：[语音]|技师说：[语音]|车主说：后面俩轮明显降低了|技师说：[语音]|车主说：对于这个问题我跑80迈会不会有什么危险？|技师说：[语音]|技师说：[语音]|车主说：那玩意贵不贵|车主说：换那个东西|技师说：[语音]|车主说：这东西不换这个宝马专用的可不可以|技师说：[语音]|车主说：[语音]|技师说：[语音]|技师说：[语音]|车主说：[语音]|技师说：不客气,根据车辆描述。判断为车辆有后轮空气弹簧损坏了。需要更换。车辆在更换之前。使用车辆需要平稳驾驶到最近维修厂,,,,,,,
